Année;Numéro;Département;Code INSEE;Nom de la commune;Date de première alerte;Surface parcourue (m2);Surface forêt (m2);Surface maquis garrigues (m2);Autres surfaces naturelles hors forêt (m2);Surfaces agricoles (m2);Autres surfaces (m2);Surface autres terres boisées (m2);Surfaces non boisées naturelles (m2);Surfaces non boisées artificialisées (m2);Surfaces non boisées (m2);Précision des surfaces;Type de peuplement;Nature;Décès ou bâtiments touchés;Nombre de décès;Nombre de bâtiments totalement détruits;Nombre de bâtiments partiellement détruits;Précision de la donnée
1973;11;06;06113;Sainte-Agnès;12/02/1973 12:48;15000;0;0;;;;;;;;;3;Accidentelle;;;;;
1973;21;06;06010;Le Bar-sur-Loup;12/02/1973 13:10;50000;0;0;;;;;;;;;3;;;;;;
1973;2254;84;84019;Bollène;12/02/1973 14:00;1000;0;0;;;;;;;;;1;;;;;;
1973;1877;83;83029;Callian;12/02/1973 16:00;1000;0;0;;;;;;;;;3;Involontaire (travaux);;;;;
1973;1094;2A;2A032;Bastelicaccia;12/02/1973 16:50;10000;0;0;;;;;;;;;;;;;;;
1973;10;06;06033;Carros;12/02/1973 18:30;5000;0;0;;;;;;;;;;;;;;;
1973;1878;83;83133;Tanneron;12/02/1973 23:30;1000;0;0;;;;;;;;;5;Involontaire (travaux);;;;;
1973;1647;34;34117;Graissessac;18/02/1973 18:30;100000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;1646;34;34202;Pignan;19/02/1973 19:00;10000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;24;06;06069;Grasse;20/02/1973 11:37;4000;0;0;;;;;;;;;3;;;;;;
1973;12;06;06147;Tourrette-Levens;20/02/1973 15:00;100000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1879;83;83007;Aups;20/02/1973 19:00;4000;0;0;;;;;;;;;;;;;;;
1973;1649;34;34028;Bédarieux;20/02/1973 19:15;10000;0;0;;;;;;;;;1;;;;;;
1973;1650;34;34049;Camplong;21/02/1973 00:30;50000;0;0;;;;;;;;;1;;;;;;
1973;1648;34;34251;Saint-Étienne-de-Gourgas;21/02/1973 11:45;250000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;13;06;06147;Tourrette-Levens;21/02/1973 12:00;2000;0;0;;;;;;;;;1;;;;;;
1973;1892;83;83045;Correns;22/02/1973 14:35;1000;0;0;;;;;;;;;1;Involontaire (particulier);;;;;
1973;1881;83;83086;Le Muy;22/02/1973 17:00;1000;0;0;;;;;;;;;1;;;;;;
1973;1880;83;83069;Hyères;22/02/1973 18:45;15000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;37;06;06033;Carros;23/02/1973 10:00;80000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;14;06;06060;Falicon;23/02/1973 13:00;1000000;0;0;;;;;;;;;1;Accidentelle;;;;;
1973;34;06;06075;Levens;23/02/1973 13:00;100000;0;0;;;;;;;;;1;;;;;;
1973;1882;83;83015;Bauduen;23/02/1973 18:15;20000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;15;06;06147;Tourrette-Levens;24/02/1973 10:55;20000;0;0;;;;;;;;;5;;;;;;
1973;1096;2B;2B313;San-Nicolao;24/02/1973 12:00;10000;0;0;;;;;;;;;;;;;;;
1973;16;06;06105;Roquefort-les-Pins;24/02/1973 12:44;10000;0;0;;;;;;;;;3;;;;;;
1973;1883;83;83029;Callian;24/02/1973 13:22;75000;0;0;;;;;;;;;5;Accidentelle;;;;;
1973;1884;83;83055;Fayence;24/02/1973 14:02;6000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1885;83;83028;Callas;24/02/1973 14:24;1000;0;0;;;;;;;;;1;;;;;;
1973;1651;34;34163;Montarnaud;24/02/1973 17:00;2000;0;0;;;;;;;;;1;;;;;;
1973;1097;2A;2A276;Serra-di-Ferro;24/02/1973 19:00;10000;0;0;;;;;;;;;;;;;;;
1973;17;06;06105;Roquefort-les-Pins;24/02/1973 20:05;10000;0;0;;;;;;;;;5;;;;;;
1973;22;06;06106;Roquesteron;25/02/1973 12:30;320000;0;0;;;;;;;;;1;Involontaire (particulier);;;;;
1973;50;06;06070;Gréolières;25/02/1973 15:00;40000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1886;83;83138;Tourrettes;25/02/1973 15:13;10000;0;0;;;;;;;;;1;;;;;;
1973;23;06;06069;Grasse;26/02/1973 17:05;10000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1098;2A;2A004;Ajaccio;26/02/1973 18:40;10000;0;0;;;;;;;;;;;;;;;
1973;79;06;06023;Breil-sur-Roya;27/02/1973 13:30;950000;0;0;;;;;;;;;5;Involontaire (travaux);;;;;
1973;1887;83;83001;Les Adrets-de-l'Estérel;27/02/1973 14:07;1000;0;0;;;;;;;;;4;Involontaire (travaux);;;;;
1973;1888;83;83030;Camps-la-Source;27/02/1973 15:11;2000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1889;83;83121;Salernes;27/02/1973 16:52;3000;0;0;;;;;;;;;5;Involontaire (travaux);;;;;
1973;1890;83;83012;Barjols;27/02/1973 17:40;10000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1891;83;83154;Saint-Antonin-du-Var;27/02/1973 18:15;30000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;2255;84;84065;Lauris;27/02/1973 19:00;20000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1652;34;34019;Avène;28/02/1973 12:00;805000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;51;06;06154;Valderoure;28/02/1973 13:00;30000;0;0;;;;;;;;;1;;;;;;
1973;1099;2B;2B352;Ville-di-Paraso;28/02/1973 21:00;20000;0;0;;;;;;;;;;;;;;;
1973;1893;83;83038;Châteaudouble;01/03/1973 12:50;20000;0;0;;;;;;;;;1;;;;;;
1973;2257;84;84038;Cheval-Blanc;01/03/1973 13:15;20000;0;0;;;;;;;;;1;;;;;;
1973;41;06;06157;Vence;01/03/1973 13:30;30000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;2256;84;84090;Peypin-d'Aigues;01/03/1973 14:20;1000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;1101;2B;2B039;Bisinchi;01/03/1973 14:50;10000;0;0;;;;;;;;;;;;;;;
1973;2275;84;84133;La Tour-d'Aigues;01/03/1973 16:00;1000;0;0;;;;;;;;;1;;;;;;
1973;73;06;06089;Opio;01/03/1973 20:50;5000;0;0;;;;;;;;;5;;;;;;
1973;28;06;06023;Breil-sur-Roya;02/03/1973 11:00;2000000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1894;83;83141;Trans-en-Provence;02/03/1973 12:00;10000;0;0;;;;;;;;;5;;;;;;
1973;1895;83;83003;Ampus;02/03/1973 14:00;20000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;35;06;06035;Castellar;02/03/1973 15:00;40000;0;0;;;;;;;;;1;Involontaire (particulier);;;;;
1973;1907;83;83077;Méounes-lès-Montrieux;02/03/1973 15:30;10000;0;0;;;;;;;;;1;Involontaire (particulier);;;;;
1973;1896;83;83092;Pignans;02/03/1973 15:30;50000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1897;83;83073;Le Luc;02/03/1973 15:30;20000;0;0;;;;;;;;;1;;;;;;
1973;20;06;06088;Nice;02/03/1973 16:15;40000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;74;06;06069;Grasse;02/03/1973 18:20;3000;0;0;;;;;;;;;1;;;;;;
1973;1898;83;83146;La Verdière;02/03/1973 19:00;40000;0;0;;;;;;;;;3;;;;;;
1973;576;13;13011;Les Baux-de-Provence;02/03/1973 20:21;50000;0;0;;;;;;;;;1;Involontaire (particulier);;;;;
1973;71;06;06038;Châteauneuf-Grasse;03/03/1973 10:08;20000;0;0;;;;;;;;;1;;;;;;
1973;1654;34;34071;Ceilhes-et-Rocozels;03/03/1973 13:00;300000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1991;83;83130;Solliès-Pont;03/03/1973 13:50;5000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;72;06;06069;Grasse;03/03/1973 13:55;350000;0;0;;;;;;;;;1;;;;;;
1973;1659;34;34116;Grabels;03/03/1973 14:08;12000;0;0;;;;;;;;;1;;;;;;
1973;1909;83;83126;La Seyne-sur-Mer;03/03/1973 14:27;1000;0;0;;;;;;;;;1;Involontaire (particulier);;;;;
1973;36;06;06067;Gorbio;03/03/1973 14:50;80000;0;0;;;;;;;;;1;Involontaire (particulier);;;;;
1973;1899;83;83007;Aups;03/03/1973 15:07;30000;0;0;;;;;;;;;6;Involontaire (particulier);;;;;
1973;1900;83;83055;Fayence;03/03/1973 15:36;10000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1901;83;83083;Montfort-sur-Argens;03/03/1973 15:40;5000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;561;13;13001;Aix-en-Provence;03/03/1973 16:18;20000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;562;13;13098;Saint-Mitre-les-Remparts;03/03/1973 16:20;30000;0;0;;;;;;;;;1;Accidentelle;;;;;
1973;68;06;06069;Grasse;03/03/1973 16:20;2000;0;0;;;;;;;;;1;;;;;;
1973;1902;83;83029;Callian;03/03/1973 16:21;80000;0;0;;;;;;;;;5;Malveillance;;;;;
1973;32;06;06046;Colomars;03/03/1973 18:20;20000;0;0;;;;;;;;;5;;;;;;
1973;1655;34;34119;Hérépian;03/03/1973 18:30;24000;0;0;;;;;;;;;1;;;;;;
1973;1657;34;34055;Castanet-le-Haut;04/03/1973 11:20;25000;0;0;;;;;;;;;1;;;;;;
1973;42;06;06035;Castellar;04/03/1973 11:25;540000;0;0;;;;;;;;;3;Naturelle;;;;;
1973;1903;83;83023;Brignoles;04/03/1973 11:30;5000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1904;83;83076;Mazaugues;04/03/1973 12:00;20000;0;0;;;;;;;;;5;Involontaire (particulier);;;;;
1973;2262;84;84020;Bonnieux;04/03/1973 12:15;1000;0;0;;;;;;;;;1;;;;;;
1973;1905;83;83080;Mons;04/03/1973 12:30;10000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;39;06;06138;Théoule-sur-Mer;04/03/1973 12:30;1000;0;0;;;;;;;;;;;;;;;
1973;25;06;06134;Séranon;04/03/1973 12:57;200000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;2261;84;84051;Goult;04/03/1973 14:00;20000;0;0;;;;;;;;;1;Involontaire (particulier);;;;;
1973;26;06;06091;Peille;04/03/1973 14:35;1500000;0;0;;;;;;;;;1;;;;;;
1973;1688;34;34200;Pézènes-les-Mines;04/03/1973 15:15;20000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;1661;34;34200;Pézènes-les-Mines;04/03/1973 15:15;20000;0;0;;;;;;;;;1;;;;;;
1973;19;06;06117;Saint-Blaise;04/03/1973 15:48;100000;0;0;;;;;;;;;1;;;;;;
1973;18;06;06088;Nice;04/03/1973 15:55;60000;0;0;;;;;;;;;5;;;;;;
1973;1653;34;34144;Lunas;04/03/1973 16:00;50000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1656;34;34119;Hérépian;04/03/1973 16:20;20000;0;0;;;;;;;;;1;;;;;;
1973;1658;34;34260;Saint-Gervais-sur-Mare;04/03/1973 16:30;120000;0;0;;;;;;;;;1;;;;;;
1973;1100;2B;2B193;Omessa;04/03/1973 16:30;10000;0;0;;;;;;;;;;;;;;;
1973;1664;34;34326;Vélieux;04/03/1973 17:00;50000;0;0;;;;;;;;;1;;;;;;
1973;1662;34;34200;Pézènes-les-Mines;04/03/1973 18:30;10000;0;0;;;;;;;;;1;;;;;;
1973;1689;34;34200;Pézènes-les-Mines;04/03/1973 18:30;10000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;1906;83;83007;Aups;04/03/1973 19:00;1000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;27;06;06043;Coaraze;04/03/1973 22:13;20000;0;0;;;;;;;;;5;;;;;;
1973;30;06;06058;Escragnolles;05/03/1973 14:00;40000;0;0;;;;;;;;;1;;;;;;
1973;1663;34;34096;Faugères;06/03/1973 12:05;30000;0;0;;;;;;;;;1;;;;;;
1973;1690;34;34096;Faugères;06/03/1973 12:05;30000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;2258;84;84042;Cucuron;06/03/1973 13:30;15000;0;0;;;;;;;;;1;Involontaire (particulier);;;;;
1973;1910;83;83028;Callas;06/03/1973 14:30;10000;0;0;;;;;;;;;;Involontaire (travaux);;;;;
1973;1676;34;34117;Graissessac;06/03/1973 15:15;40000;0;0;;;;;;;;;1;;;;;;
1973;1691;34;34117;Graissessac;06/03/1973 15:15;40000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;2259;84;84012;Beaumes-de-Venise;06/03/1973 16:00;2000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1671;34;34096;Faugères;06/03/1973 18:15;20000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;1908;83;83064;Garéoult;06/03/1973 19:03;10000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1672;34;34096;Faugères;06/03/1973 20:00;250000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;1911;83;83070;Le Lavandou;07/03/1973 03:20;1000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1912;83;83141;Trans-en-Provence;07/03/1973 10:20;3000;0;0;;;;;;;;;5;Accidentelle;;;;;
1973;1913;83;83131;Solliès-Toucas;07/03/1973 11:06;50000;0;0;;;;;;;;;1;Accidentelle;;;;;
1973;1914;83;83072;Lorgues;07/03/1973 12:10;1000;0;0;;;;;;;;;;Involontaire (particulier);;;;;
1973;2260;84;84019;Bollène;07/03/1973 13:00;5000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;563;13;13109;Le Tholonet;07/03/1973 13:55;120000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1102;2A;2A004;Ajaccio;07/03/1973 14:55;10000;0;0;;;;;;;;;;;;;;;
1973;1665;34;34169;Montferrier-sur-Lez;07/03/1973 15:30;1500000;0;0;;;;;;;;;5;;;;;;
1973;1677;34;34096;Faugères;07/03/1973 21:20;20000;0;0;;;;;;;;;1;;;;;;
1973;1692;34;34096;Faugères;07/03/1973 21:20;20000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;31;06;06088;Nice;08/03/1973 11:00;10000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1915;83;83072;Lorgues;08/03/1973 12:15;20000;0;0;;;;;;;;;5;Involontaire (travaux);;;;;
1973;33;06;06069;Grasse;08/03/1973 12:30;20000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;29;06;06088;Nice;08/03/1973 13:15;25000;0;0;;;;;;;;;4;;;;;;
1973;1916;83;83087;Nans-les-Pins;08/03/1973 14:00;6000;0;0;;;;;;;;;1;Accidentelle;;;;;
1973;1917;83;83111;Sainte-Anastasie-sur-Issole;08/03/1973 14:20;1000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;564;13;13032;Éguilles;08/03/1973 15:36;50000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1929;83;83077;Méounes-lès-Montrieux;08/03/1973 16:00;1000;0;0;;;;;;;;;1;;;;;;
1973;1918;83;83091;Pierrefeu-du-Var;08/03/1973 16:20;10000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;69;06;06140;Le Tignet;08/03/1973 18:40;10000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1919;83;83068;Grimaud;09/03/1973 11:15;30000;0;0;;;;;;;;;4;;;;;;
1973;40;06;06088;Nice;09/03/1973 13:00;10000;0;0;;;;;;;;;1;;;;;;
1973;565;13;13001;Aix-en-Provence;09/03/1973 14:19;1000;0;0;;;;;;;;;1;;;;;;
1973;566;13;13110;Trets;09/03/1973 14:30;10000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1678;34;34028;Bédarieux;09/03/1973 15:30;10000;0;0;;;;;;;;;1;;;;;;
1973;1693;34;34028;Bédarieux;09/03/1973 15:30;10000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;1673;34;34117;Graissessac;09/03/1973 17:00;60000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;1670;34;34157;Mèze;09/03/1973 17:10;5000;0;0;;;;;;;;;1;;;;;;
1973;1674;34;34252;Saint-Étienne-Estréchoux;09/03/1973 20:00;20000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;1666;34;34323;Valmascle;09/03/1973 22:00;100000;0;0;;;;;;;;;1;;;;;;
1973;1667;34;34124;Lacoste;10/03/1973 11:00;40000;0;0;;;;;;;;;1;;;;;;
1973;2263;84;84124;Saumane-de-Vaucluse;10/03/1973 12:35;15000;0;0;;;;;;;;;3;;;;;;
1973;52;06;06150;La Turbie;10/03/1973 13:30;70000;0;0;;;;;;;;;1;;;;;;
1973;1668;34;34197;Péret;10/03/1973 15:00;30000;0;0;;;;;;;;;1;;;;;;
1973;567;13;13058;Maussane-les-Alpilles;10/03/1973 15:30;10000;0;0;;;;;;;;;1;;;;;;
1973;1103;2A;2A330;Ucciani;10/03/1973 16:00;10000;0;0;;;;;;;;;;;;;;;
1973;568;13;13041;Gardanne;10/03/1973 17:21;1000;0;0;;;;;;;;;5;;;;;;
1973;1675;34;34252;Saint-Étienne-Estréchoux;10/03/1973 18:30;40000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;1920;83;83058;Flayosc;10/03/1973 20:30;5000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;92;06;06075;Levens;10/03/1973 20:45;20000;0;0;;;;;;;;;1;;;;;;
1973;1660;34;34055;Castanet-le-Haut;11/03/1973 08:00;25000;0;0;;;;;;;;;1;;;;;;
1973;1921;83;83058;Flayosc;11/03/1973 11:35;1000;0;0;;;;;;;;;5;;;;;;
1973;47;06;06038;Châteauneuf-Grasse;11/03/1973 12:30;30000;0;0;;;;;;;;;1;;;;;;
1973;45;06;06026;Cabris;11/03/1973 12:30;15000;0;0;;;;;;;;;1;;;;;;
1973;49;06;06088;Nice;11/03/1973 13:40;2000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;43;06;06068;Gourdon;11/03/1973 14:10;200000;0;0;;;;;;;;;1;;;;;;
1973;1686;34;34012;Argelliers;11/03/1973 14:30;20000;0;0;;;;;;;;;1;;;;;;
1973;48;06;06105;Roquefort-les-Pins;11/03/1973 14:50;1000;0;0;;;;;;;;;1;;;;;;
1973;44;06;06089;Opio;11/03/1973 15:20;5000;0;0;;;;;;;;;5;;;;;;
1973;70;06;06038;Châteauneuf-Grasse;11/03/1973 15:50;50000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;38;06;06033;Carros;11/03/1973 16:00;3000;0;0;;;;;;;;;4;;;;;;
1973;46;06;06070;Gréolières;11/03/1973 17:23;90000;0;0;;;;;;;;;3;;;;;;
1973;1680;34;34126;Lamalou-les-Bains;11/03/1973 20:30;2000;0;0;;;;;;;;;1;;;;;;
1973;2264;84;84003;Apt;12/03/1973 13:30;5000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1923;83;83082;Montferrat;12/03/1973 14:21;5000;0;0;;;;;;;;;1;;;;;;
1973;1922;83;83050;Draguignan;12/03/1973 15:17;1000;0;0;;;;;;;;;1;;;;;;
1973;1669;34;34079;Clermont-l'Hérault;13/03/1973 14:55;20000;0;0;;;;;;;;;1;;;;;;
1973;1687;34;34173;Montpeyroux;13/03/1973 16:00;100000;0;0;;;;;;;;;1;;;;;;
1973;1679;34;34028;Bédarieux;13/03/1973 23:15;20000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;569;13;13068;Paradou;14/03/1973 00:50;20000;0;0;;;;;;;;;1;;;;;;
1973;53;06;06132;Saorge;14/03/1973 11:30;50000;0;0;;;;;;;;;1;;;;;;
1973;54;06;06083;Menton;15/03/1973 12:25;15000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;55;06;06104;Roquebrune-Cap-Martin;15/03/1973 19:00;5000;0;0;;;;;;;;;1;;;;;;
1973;2265;84;84066;Lioux;16/03/1973 13:10;5000;0;0;;;;;;;;;1;Involontaire (particulier);;;;;
1973;2269;84;84069;Malaucène;16/03/1973 17:25;1000;0;0;;;;;;;;;1;;;;;;
1973;2268;84;84020;Bonnieux;17/03/1973 15:00;55000;0;0;;;;;;;;;1;;;;;;
1973;1685;34;34117;Graissessac;17/03/1973 18:00;1000000;0;0;;;;;;;;;1;;;;;;
1973;77;06;06016;Beuil;18/03/1973 10:30;20000;0;0;;;;;;;;;1;;;;;;
1973;1924;83;83108;La Roquebrussanne;18/03/1973 11:35;30000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;56;06;06109;La Roquette-sur-Var;18/03/1973 12:30;400000;0;0;;;;;;;;;1;Involontaire (particulier);;;;;
1973;2266;84;84035;Cavaillon;18/03/1973 12:35;1000;0;0;;;;;;;;;1;;;;;;
1973;1681;34;34013;Aspiran;18/03/1973 14:15;150000;0;0;;;;;;;;;1;;;;;;
1973;57;06;06130;Saint-Vallier-de-Thiey;18/03/1973 17:50;10000;0;0;;;;;;;;;1;;;;;;
1973;2267;84;84087;Orange;18/03/1973 19:00;2000;0;0;;;;;;;;;1;;;;;;
1973;1682;34;34045;Cabrières;19/03/1973 06:00;100000;0;0;;;;;;;;;1;;;;;;
1973;80;06;06043;Coaraze;19/03/1973 07:20;400000;0;0;;;;;;;;;4;;;;;;
1973;703;2B;2B341;Venaco;19/03/1973 10:30;80000;0;0;;;;;;;;;;;;;;;
1973;570;13;13058;Maussane-les-Alpilles;19/03/1973 12:20;30000;0;0;;;;;;;;;1;Accidentelle;;;;;
1973;58;06;06048;Contes;19/03/1973 13:30;40000;0;0;;;;;;;;;5;;;;;;
1973;1925;83;83046;Cotignac;19/03/1973 14:00;150000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;2271;84;84151;Vitrolles-en-Lubéron;19/03/1973 15:00;20000;0;0;;;;;;;;;3;Malveillance;;;;;
1973;59;06;06137;Spéracèdes;19/03/1973 15:20;10000;0;0;;;;;;;;;1;;;;;;
1973;1683;34;34124;Lacoste;19/03/1973 16:00;20000;0;0;;;;;;;;;1;;;;;;
1973;1684;34;34138;Lieuran-Cabrières;19/03/1973 18:00;100000;0;0;;;;;;;;;1;;;;;;
1973;60;06;06069;Grasse;19/03/1973 21:00;5000;0;0;;;;;;;;;1;;;;;;
1973;63;06;06088;Nice;20/03/1973 11:50;15000;0;0;;;;;;;;;1;;;;;;
1973;62;06;06083;Menton;20/03/1973 12:10;5000;0;0;;;;;;;;;1;;;;;;
1973;2270;84;84101;La Roque-sur-Pernes;20/03/1973 13:00;30000;0;0;;;;;;;;;1;;;;;;
1973;64;06;06006;Aspremont;20/03/1973 13:45;25000;0;0;;;;;;;;;1;;;;;;
1973;65;06;06068;Gourdon;20/03/1973 14:50;50000;0;0;;;;;;;;;3;Naturelle;;;;;
1973;66;06;06112;Le Rouret;20/03/1973 15:00;130000;0;0;;;;;;;;;1;;;;;;
1973;1926;83;83069;Hyères;20/03/1973 15:35;20000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;61;06;06006;Aspremont;20/03/1973 16:00;2000;0;0;;;;;;;;;1;;;;;;
1973;704;2B;2B050;Calvi;20/03/1973 16:30;10000;0;0;;;;;;;;;;;;;;;
1973;67;06;06147;Tourrette-Levens;20/03/1973 17:20;50000;0;0;;;;;;;;;1;Involontaire (particulier);;;;;
1973;571;13;13014;Berre-l'Étang;21/03/1973 01:00;1000;0;0;;;;;;;;;1;;;;;;
1973;705;2A;2A278;Serra-di-Scopamène;21/03/1973 11:30;10000;0;0;;;;;;;;;;;;;;;
1973;76;06;06141;Toudon;21/03/1973 13:15;35000;0;0;;;;;;;;;1;;;;;;
1973;75;06;06112;Le Rouret;21/03/1973 13:25;1000;0;0;;;;;;;;;3;;;;;;
1973;2274;84;84079;Monieux;21/03/1973 13:30;40000;0;0;;;;;;;;;6;Malveillance;;;;;
1973;1695;34;34123;Juvignac;21/03/1973 14:45;20000;0;0;;;;;;;;;1;Involontaire (particulier);;;;;
1973;2272;84;84019;Bollène;21/03/1973 15:10;3000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;2273;84;84020;Bonnieux;21/03/1973 16:00;50000;0;0;;;;;;;;;1;;;;;;
