Année;Numéro;Département;Code INSEE;Nom de la commune;Date de première alerte;Surface parcourue (m2);Surface forêt (m2);Surface maquis garrigues (m2);Autres surfaces naturelles hors forêt (m2);Surfaces agricoles (m2);Autres surfaces (m2);Surface autres terres boisées (m2);Surfaces non boisées naturelles (m2);Surfaces non boisées artificialisées (m2);Surfaces non boisées (m2);Précision des surfaces;Type de peuplement;Nature;Décès ou bâtiments touchés;Nombre de décès;Nombre de bâtiments totalement détruits;Nombre de bâtiments partiellement détruits;Précision de la donnée
1973;8;06;06060;Falicon;09/01/1973 13:50;10000;0;0;;;;;;;;;1;;;;;;
1973;1871;83;83038;Châteaudouble;28/01/1973 13:25;30000;0;0;;;;;;;;;3;;;;;;
1973;1872;83;83078;Moissac-Bellevue;29/01/1973 11:15;6000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1639;34;34163;Montarnaud;29/01/1973 13:00;100000;0;0;;;;;;;;;1;;;;;;
1973;9;06;06012;Beausoleil;29/01/1973 15:00;40000;0;0;;;;;;;;;5;;;;;;
1973;2248;84;84012;Beaumes-de-Venise;31/01/1973 13:50;1000;0;0;;;;;;;;;3;;;;;;
1973;1641;34;34157;Mèze;04/02/1973 12:00;1000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1640;34;34117;Graissessac;04/02/1973 12:00;30000;0;0;;;;;;;;;1;Malveillance;;;;;
1973;2250;84;84057;Joucas;04/02/1973 14:15;1000;0;0;;;;;;;;;3;;;;;;
1973;1873;83;83033;Carnoules;04/02/1973 15:12;20000;0;0;;;;;;;;;1;;;;;;
1973;2249;84;84032;Caseneuve;04/02/1973 15:20;20000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1874;83;83050;Draguignan;05/02/1973 14:21;1000;0;0;;;;;;;;;5;;;;;;
1973;1643;34;34055;Castanet-le-Haut;05/02/1973 14:30;50000;0;0;;;;;;;;;1;;;;;;
1973;1644;34;34038;Le Bousquet-d'Orb;05/02/1973 15:00;105000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;1642;34;34229;Riols;05/02/1973 17:00;200000;0;0;;;;;;;;;1;;;;;;
1973;1645;34;34121;Joncels;07/02/1973 16:30;20000;0;0;;;;;;;;;1;Involontaire (travaux);;;;;
1973;2251;84;84078;Mondragon;07/02/1973 16:30;10000;0;0;;;;;;;;;3;;;;;;
1973;1092;2A;2A004;Ajaccio;08/02/1973 12:35;10000;0;0;;;;;;;;;;;;;;;
1973;2252;84;84078;Mondragon;09/02/1973 19:15;1000;0;0;;;;;;;;;1;;;;;;
1973;1093;2A;2A004;Ajaccio;10/02/1973 13:35;10000;0;0;;;;;;;;;;;;;;;
1973;1875;83;83120;Saint-Zacharie;10/02/1973 14:00;1000;0;0;;;;;;;;;1;;;;;;
1973;1876;83;83050;Draguignan;10/02/1973 16:00;20000;0;0;;;;;;;;;5;;;;;;
1973;2253;84;84096;Rasteau;11/02/1973 16:00;40000;0;0;;;;;;;;;1;;;;;;
1973;1095;2B;2B148;Lucciana;12/02/1973 11:15;10000;0;0;;;;;;;;;;;;;;;
